region_id,time_slot,day_of_week,supply,demand,demand_supply_gap
1,0,0,21,208,187
1,0,1,50,220,170
1,0,2,20,181,161
1,0,3,9,181,172
1,0,4,17,340,323
1,0,5,11,238,227
1,0,6,5,257,252
1,1,0,21,167,146
1,1,1,15,146,131
1,1,2,24,182,158
1,1,3,7,149,142
1,1,4,15,306,291
1,1,5,15,226,211
1,1,6,12,219,207
1,2,0,12,151,139
1,2,1,22,157,135
1,2,2,11,130,119
1,2,3,10,125,115
1,2,4,18,314,296
1,2,5,9,185,176
1,2,6,13,223,210
1,3,0,16,148,132
1,3,1,14,142,128
1,3,2,4,100,96
1,3,3,4,115,111
1,3,4,11,276,265
1,3,5,5,163,158
1,3,6,8,206,198
1,4,0,7,130,123
1,4,1,15,128,113
1,4,2,1,113,112
1,4,3,4,110,106
1,4,4,8,238,230
1,4,5,16,184,168
1,4,6,3,180,177
1,5,0,6,98,92
1,5,1,4,108,104
1,5,2,2,101,99
1,5,3,2,97,95
1,5,4,3,217,214
1,5,5,23,184,161
1,5,6,9,167,158
1,6,0,5,115,110
1,6,1,16,99,83
1,6,2,2,97,95
1,6,3,5,85,80
1,6,4,14,202,188
1,6,5,10,148,138
1,6,6,9,165,156
1,7,0,13,108,95
1,7,1,8,77,69
1,7,2,3,93,90
1,7,3,5,88,83
1,7,4,9,210,201
1,7,5,9,115,106
1,7,6,11,142,131
1,8,0,21,107,86
1,8,1,6,78,72
1,8,2,5,78,73
1,8,3,3,81,78
1,8,4,12,185,173
1,8,5,2,126,124
1,8,6,13,150,137
1,9,0,9,76,67
1,9,1,4,64,60
1,9,2,3,87,84
1,9,3,13,114,101
1,9,4,6,172,166
1,9,5,7,105,98
1,9,6,18,142,124
1,10,0,13,77,64
1,10,1,6,78,72
1,10,2,2,66,64
1,10,3,12,98,86
1,10,4,3,140,137
1,10,5,12,113,101
1,10,6,18,127,109
1,11,0,11,81,70
1,11,1,14,83,69
1,11,2,0,56,56
1,11,3,6,48,42
1,11,4,6,128,122
1,11,5,9,112,103
1,11,6,7,99,92
1,12,0,8,79,71
1,12,1,4,66,62
1,12,2,1,63,62
1,12,3,2,63,61
1,12,4,6,122,116
1,12,5,9,106,97
1,12,6,13,114,101
1,13,0,9,62,53
1,13,1,13,74,61
1,13,2,6,74,68
1,13,3,4,59,55
1,13,4,5,117,112
1,13,5,28,118,90
1,13,6,7,78,71
1,14,0,8,55,47
1,14,1,5,63,58
1,14,2,2,54,52
1,14,3,2,55,53
1,14,4,7,113,106
1,14,5,16,88,72
1,14,6,6,74,68
1,15,0,1,56,55
1,15,1,16,41,25
1,15,2,6,59,53
1,15,3,2,43,41
1,15,4,12,111,99
1,15,5,6,73,67
1,15,6,7,76,69
1,16,0,4,48,44
1,16,1,5,35,30
1,16,2,1,36,35
1,16,3,3,52,49
1,16,4,21,98,77
1,16,5,6,69,63
1,16,6,3,54,51
1,17,0,5,39,34
